dataset_id,sample_id,gene_id,expression_zscore
luad_tcga_pan_can_atlas_2018,TCGA-05-4395-01,4072,-0.4183
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,238,-1.7834
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,84868,-1.6072
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3091,-0.6321
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3105,0.5728
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3106,0.5459
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3553,-0.9204
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3716,-0.4273
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3717,-0.7565
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3845,1.5386
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3902,-1.1951
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,4233,-0.1353
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,4288,0.0331
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,4318,-0.3276
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,4609,-1.4535
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,5133,-1.0152
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,567,0.7918
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,6279,-1.5059
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,6280,-0.973
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,6615,-1.6943
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,6696,-0.694
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,201633,-0.6982
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,7153,-0.7469
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,7422,0.4621
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,7431,-1.5026
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,6935,0.2588
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,29126,-0.9255
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,1493,-0.7053
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,3576,-1.1681
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,1956,0.1796
luad_tcga_pan_can_atlas_2018,TCGA-05-4396-01,4072,1.0792
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,238,3.0138
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,84868,0.1099
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3091,0.053
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3105,1.1344
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3106,1.0427
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3553,0.5697
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3716,-0.9067
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3717,-0.4622
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3845,-0.8716
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3902,-0.0647
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,4233,-1.0994
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,4288,0.7264
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,4318,-0.2107
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,4609,-2.0313
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,5133,-0.6355
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,567,0.0932
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,6279,0.5897
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,6280,0.5459
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,6615,0.4725
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,6696,-0.5567
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,201633,-1.0433
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,7153,0.6856
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,7422,-1.5368
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,7431,0.2007
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,6935,0.7021
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,29126,-0.5574
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,1493,-0.2976
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,3576,-0.441
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,1956,-1.1224
luad_tcga_pan_can_atlas_2018,TCGA-05-4397-01,4072,-2.1113
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,238,0.7426
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,84868,1.0735
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3091,0.227
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3105,-0.1822
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3106,-0.1803
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3553,2.0046
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3716,0.5459
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3717,0.2842
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3845,-0.3572
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3902,0.2045
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,4233,1.4045
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,4288,0.5248
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,4318,0.5125
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,4609,0.6079
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,5133,0.7962
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,567,0.3359
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6279,1.3801
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6280,1.8665
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6615,1.4113
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6696,1.5951
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,201633,0.3996
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,7153,0.7072
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,7422,1.9378
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,7431,0.6583
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,6935,-0.2202
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,29126,2.1394
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,1493,0.3214
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,3576,1.3393
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,1956,1.238
luad_tcga_pan_can_atlas_2018,TCGA-05-4398-01,4072,-0.8833
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,238,-0.6101
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,84868,0.6418
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3091,-0.2427
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3105,0.1077
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3106,0.0802
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3553,0.7489
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3716,0.4924
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3717,-0.1791
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3845,0.0092
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,3902,0.3517
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,4233,0.1995
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,4288,-0.422
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,4318,-0.1863
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,4609,-0.9428
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,5133,-0.8319
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,567,0.2514
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,6279,0.0482
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,6280,1.1949
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,6615,-0.5737
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,6696,1.6885
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,201633,-0.5298
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,7153,0.2012
luad_tcga_pan_can_atlas_2018,TCGA-05-4402-01,7422,-0.2183
